model,obs,score
"Cox PH Lasso, Barlow weights",750,0.957156592
"Cox PH Elastic Net, Barlow weights",750,0.957156592
"Survival Tree, unweighted",750,0.893312102
"Survival Tree, random oversampler",750,0.879401514
"Survival Tree, SMOTENC",750,0.851550294
"Random Survival Forest, unweighted",750,0.913051316
"Random Survival Forest, random oversampler",750,0.911549093
"Random Survival Forest, SMOTENC",750,0.904458599
Unweighted Cox PH,750,0.951876325
"Cox PH, Barlow weights",750,0.951813988
"Cox PH, Prentice weights",750,0.952250343
"Cox PH, Self-Prentice weights",750,0.952063334
"Cox PH Ridge, Barlow weights",750,0.951813988
"Cox PH Lasso, Barlow weights",750,0.951813988
"Cox PH Elastic Net, Barlow weights",750,0.951813988
"Survival Tree, unweighted",750,0.893934671
"Survival Tree, random oversampler",750,0.839577359
"Survival Tree, SMOTENC",750,0.840013714
"Random Survival Forest, unweighted",750,0.904750031
"Random Survival Forest, random oversampler",750,0.903378631
"Random Survival Forest, SMOTENC",750,0.873581848
Unweighted Cox PH,750,0.965445665
"Cox PH, Barlow weights",750,0.962271062
"Cox PH, Prentice weights",750,0.962881563
"Cox PH, Self-Prentice weights",750,0.963431013
"Cox PH Ridge, Barlow weights",750,0.962271062
"Cox PH Lasso, Barlow weights",750,0.962271062
"Cox PH Elastic Net, Barlow weights",750,0.962271062
"Survival Tree, unweighted",750,0.909615385
"Survival Tree, random oversampler",750,0.893406593
"Survival Tree, SMOTENC",750,0.836416361
"Random Survival Forest, unweighted",750,0.944627595
"Random Survival Forest, random oversampler",750,0.936324786
"Random Survival Forest, SMOTENC",750,0.930525031
Unweighted Cox PH,750,0.959738773
"Cox PH, Barlow weights",750,0.959738773
"Cox PH, Prentice weights",750,0.959671447
"Cox PH, Self-Prentice weights",750,0.960210059
"Cox PH Ridge, Barlow weights",750,0.959738773
"Cox PH Lasso, Barlow weights",750,0.959738773
"Cox PH Elastic Net, Barlow weights",750,0.959738773
"Survival Tree, unweighted",750,0.912812226
"Survival Tree, random oversampler",750,0.856426311
"Survival Tree, SMOTENC",750,0.888776678
"Random Survival Forest, unweighted",750,0.941493301
"Random Survival Forest, random oversampler",750,0.930855719
"Random Survival Forest, SMOTENC",750,0.927556723
Unweighted Cox PH,750,0.955979019
"Cox PH, Barlow weights",750,0.956842175
"Cox PH, Prentice weights",750,0.956709382
"Cox PH, Self-Prentice weights",750,0.957373348
"Cox PH Ridge, Barlow weights",750,0.956842175
"Cox PH Lasso, Barlow weights",750,0.956842175
"Cox PH Elastic Net, Barlow weights",750,0.956842175
"Survival Tree, unweighted",750,0.858010756
"Survival Tree, random oversampler",750,0.848914415
"Survival Tree, SMOTENC",750,0.881183188
"Random Survival Forest, unweighted",750,0.903525662
"Random Survival Forest, random oversampler",750,0.909102981
"Random Survival Forest, SMOTENC",750,0.897881947
Unweighted Cox PH,750,0.956406565
"Cox PH, Barlow weights",750,0.957788655
"Cox PH, Prentice weights",750,0.958191765
"Cox PH, Self-Prentice weights",750,0.958652462
"Cox PH Ridge, Barlow weights",750,0.957788655
"Cox PH Lasso, Barlow weights",750,0.957788655
"Cox PH Elastic Net, Barlow weights",750,0.957788655
"Survival Tree, unweighted",750,0.871926289
"Survival Tree, random oversampler",750,0.880852289
"Survival Tree, SMOTENC",750,0.872530953
"Random Survival Forest, unweighted",750,0.907399942
"Random Survival Forest, random oversampler",750,0.898877052
"Random Survival Forest, SMOTENC",750,0.891275554
Unweighted Cox PH,750,0.954618566
"Cox PH, Barlow weights",750,0.956399357
"Cox PH, Prentice weights",750,0.956284467
"Cox PH, Self-Prentice weights",750,0.955652574
"Cox PH Ridge, Barlow weights",750,0.956399357
"Cox PH Lasso, Barlow weights",750,0.956399357
"Cox PH Elastic Net, Barlow weights",750,0.956399357
"Survival Tree, unweighted",750,0.879365809
"Survival Tree, random oversampler",750,0.826660156
