,model,obs,score
174,"Cox PH Lasso, Barlow weights",750,0.085389403467708
175,"Cox PH Elastic Net, Barlow weights",750,0.085389403467708
176,"Survival Tree, unweighted",750,0.0657520267305216
177,"Survival Tree, random oversampler",750,0.0665147231412088
178,"Survival Tree, SMOTENC",750,0.0728874297242408
179,"Random Survival Forest, unweighted",750,0.0472922315701678
180,"Random Survival Forest, random oversampler",750,0.0407193915434874
181,"Random Survival Forest, SMOTENC",750,0.0462444294429011
182,Unweighted Cox PH,750,0.1014275919982159
183,"Cox PH, Barlow weights",750,0.0927833324428949
184,"Cox PH, Prentice weights",750,0.0933895949604407
185,"Cox PH, Self-Prentice weights",750,0.0907201806594499
186,"Cox PH Ridge, Barlow weights",750,0.0927833324428949
187,"Cox PH Lasso, Barlow weights",750,0.0927833324428949
188,"Cox PH Elastic Net, Barlow weights",750,0.0985267271341366
189,"Survival Tree, unweighted",750,0.0626229572077887
190,"Survival Tree, random oversampler",750,0.059160650322028
191,"Survival Tree, SMOTENC",750,0.0668384353107941
192,"Random Survival Forest, unweighted",750,0.0467260452023363
193,"Random Survival Forest, random oversampler",750,0.0402737514713499
194,"Random Survival Forest, SMOTENC",750,0.0439803676073442
195,Unweighted Cox PH,750,0.0928670090021015
196,"Cox PH, Barlow weights",750,0.0641371083380579
197,"Cox PH, Prentice weights",750,0.0770115200549906
198,"Cox PH, Self-Prentice weights",750,0.0696874031578576
199,"Cox PH Ridge, Barlow weights",750,0.0641371083380579
200,"Cox PH Lasso, Barlow weights",750,0.0641371083380579
201,"Cox PH Elastic Net, Barlow weights",750,0.0641371083380579
202,"Survival Tree, unweighted",750,0.0552058900179822
203,"Survival Tree, random oversampler",750,0.0514162281075267
204,"Survival Tree, SMOTENC",750,0.0768006291041697
205,"Random Survival Forest, unweighted",750,0.0469200610352777
206,"Random Survival Forest, random oversampler",750,0.0381062492317406
207,"Random Survival Forest, SMOTENC",750,0.048005430410087
208,Unweighted Cox PH,750,0.0829996112867548
209,"Cox PH, Barlow weights",750,0.0644321209837815
210,"Cox PH, Prentice weights",750,0.0699900144875226
211,"Cox PH, Self-Prentice weights",750,0.0658668240456905
212,"Cox PH Ridge, Barlow weights",750,0.0644321209837815
213,"Cox PH Lasso, Barlow weights",750,0.0644321209837815
214,"Cox PH Elastic Net, Barlow weights",750,0.0644321209837815
215,"Survival Tree, unweighted",750,0.0726211693220123
216,"Survival Tree, random oversampler",750,0.0722450802769899
217,"Survival Tree, SMOTENC",750,0.0754707255455446
218,"Random Survival Forest, unweighted",750,0.0514784617064611
219,"Random Survival Forest, random oversampler",750,0.0429559157272763
220,"Random Survival Forest, SMOTENC",750,0.0540207891197494
221,Unweighted Cox PH,750,0.0825398465326006
222,"Cox PH, Barlow weights",750,0.0612525569065007
223,"Cox PH, Prentice weights",750,0.0727977162519216
224,"Cox PH, Self-Prentice weights",750,0.0601814407492612
225,"Cox PH Ridge, Barlow weights",750,0.0612525569065007
226,"Cox PH Lasso, Barlow weights",750,0.0612525569065007
227,"Cox PH Elastic Net, Barlow weights",750,0.0612525569065007
228,"Survival Tree, unweighted",750,0.0627301841580407
229,"Survival Tree, random oversampler",750,0.0656704286169526
230,"Survival Tree, SMOTENC",750,0.0633518685593655
231,"Random Survival Forest, unweighted",750,0.043989720138334
232,"Random Survival Forest, random oversampler",750,0.0361527334673549
233,"Random Survival Forest, SMOTENC",750,0.0416748341835067
234,Unweighted Cox PH,750,0.0875636597973918
235,"Cox PH, Barlow weights",750,0.0758975146533395
236,"Cox PH, Prentice weights",750,0.0774334259609382
237,"Cox PH, Self-Prentice weights",750,0.078163901374305
238,"Cox PH Ridge, Barlow weights",750,0.0820457201362568
239,"Cox PH Lasso, Barlow weights",750,0.0758975146533395
240,"Cox PH Elastic Net, Barlow weights",750,0.0758975146533395
241,"Survival Tree, unweighted",750,0.0580973916623255
242,"Survival Tree, random oversampler",750,0.0616618615186922
243,"Survival Tree, SMOTENC",750,0.0618206467468704
244,"Random Survival Forest, unweighted",750,0.0448760001687277
245,"Random Survival Forest, random oversampler",750,0.0380560994165613
246,"Random Survival Forest, SMOTENC",750,0.0419353508129144
247,Unweighted Cox PH,750,0.1014386354528158
248,"Cox PH, Barlow weights",750,0.0776682550740317
249,"Cox PH, Prentice weights",750,0.0883809206300517
250,"Cox PH, Self-Prentice weights",750,0.0717970414936971
251,"Cox PH Ridge, Barlow weights",750,0.0776682550740317
252,"Cox PH Lasso, Barlow weights",750,0.0776682550740317
253,"Cox PH Elastic Net, Barlow weights",750,0.0776682550740317
254,"Survival Tree, unweighted",750,0.0826656378385777
255,"Survival Tree, random oversampler",750,0.0813397176411927
256,"Survival Tree, SMOTENC",750,0.0778539140407545
257,"Random Survival Forest, unweighted",750,0.058012397780829
258,"Random Survival Forest, random oversampler",750,0.0515495938578721
259,"Random Survival Forest, SMOTENC",750,0.0568851527352172
260,Unweighted Cox PH,750,0.115160934221363
261,"Cox PH, Barlow weights",750,0.0996725335480642
262,"Cox PH, Prentice weights",750,0.1032809242600492
263,"Cox PH, Self-Prentice weights",750,0.0838853403090428
264,"Cox PH Ridge, Barlow weights",750,0.1037654602890694
265,"Cox PH Lasso, Barlow weights",750,0.0996725335480642
266,"Cox PH Elastic Net, Barlow weights",750,0.0996725335480642
267,"Survival Tree, unweighted",750,0.0601850248605456
268,"Survival Tree, random oversampler",750,0.0630051308763432
269,"Survival Tree, SMOTENC",750,0.0648718421987294
270,"Random Survival Forest, unweighted",750,0.0531268342599641
271,"Random Survival Forest, random oversampler",750,0.0450206968672471
272,"Random Survival Forest, SMOTENC",750,0.0511976566523681
273,Unweighted Cox PH,750,0.1040284946390963
274,"Cox PH, Barlow weights",750,0.0888700250868662
275,"Cox PH, Prentice weights",750,0.0909023438394481
276,"Cox PH, Self-Prentice weights",750,0.1048052270759722
277,"Cox PH Ridge, Barlow weights",750,0.0888700250868662
278,"Cox PH Lasso, Barlow weights",750,0.0888700250868662
279,"Cox PH Elastic Net, Barlow weights",750,0.0888700250868662
280,"Survival Tree, unweighted",750,0.05835380321618
281,"Survival Tree, random oversampler",750,0.0606222631505606
